问题,回答,所属分类
判别模型和生成模型之间有什么区别？,"判别模型学习不同类别的数据之间的区别。生成模型学习数据类别。 区分模型通常在分类任务上表现更好。
Python机器学习

ㅤ普通",
什么是参数模型？提供一个例子,"参数模型具有有限数量的参数。您只需要知道模型的参数即可进行数据预测。常见示例如下：线性 SVM，线性回归和逻辑回归。
非参数模型具有无限数量的参数以提供灵活性。对于数据预测，您需要模型的参数和观测数据的状态。常见示例如下：k最近邻，决策树和主题模型。
Python机器学习

ㅤ普通",
如何根据训练集大小选择分类器？,"对于小的训练集，具有高偏差和低方差模型的模型更好，因为它不太可能过拟合。一个例子是朴素贝叶斯。
对于大型训练集，具有低偏差和高方差模型的模型更好，因为它表示更复杂的关系。一个例子是逻辑回归。
Python机器学习

ㅤ普通",
解释ROC曲线和AUC？,"ROC曲线是在所有阈值下分类模型的性能的图形表示。它有两个阈值：真阳性率和假阳性率。
简单来说，AUC（ ROC 曲线下方的面积）就是 ROC 曲线下方的面积。AUC 测量 ROC 曲线下从（0,0）到（1,1）的二维区域。它用作评估二进制分类模型的性能指标。
[]
Python机器学习

ㅤ普通",
如何确保您不会过度拟合模型？,"我们可以使用三种方法来防止过度拟合：
(1) 使用交叉验证技术（例如k折交叉验证）
(2) 保持模型简单（即减少变量）以减少方差
(3) 使用正则化技术（例如 LASSO）来惩罚可能导致过度拟合的模型参数
Python机器学习

ㅤ普通",
说明如何处理数据集中的丢失或损坏的数据？,"您需要标识查找数据并删除行/列，或将其替换为其他值。
pandas 提供了执行此操作的有用方法：isnull() 和 dropna()。这些使您可以识别并删除损坏的数据。该 fillna() 方法可用于使用占位符填充无效值。
Python机器学习

ㅤ普通",
解释如何开发数据管道？,"数据管道使我们能够采用数据科学模型并对其进行自动化或扩展。常见的数据管道工具是 Apache Airflow，并且使用 Google Cloud，Azure 和 AWS 托管它们。
对于这样的问题，您想解释所需的步骤并讨论您在构建数据管道方面的实际经验。
对于 Google Cloud 主机，基本步骤如下：
(1) 登录到 Google Cloud Platform
(2) 创建一个计算实例
(3) 从 GitHub 中提取教程内容
(4) 使用 AirFlow 概述管道
(5) 使用 Docker 设置虚拟主机
(6) 开发一个 Docker 容器
(7) 打开 Airflow UI 并运行数据管道
(8) 运行已部署的 Web 应用
Python机器学习

ㅤ普通",
如何解决模型中的高方差？,"如果模型具有低方差和高偏差，我们使用装袋算法，该算法使用随机抽样将数据集划分为子集。我们使用这些样本通过单个学习算法生成一组模型。
此外，我们可以使用正则化技术，其中较高的模型系数会受到惩罚，以降低总体复杂度。
Python机器学习

ㅤ普通",
什么是超参数？它们与模型参数有何不同？,"模型参数是模型内部的变量。参数值是根据训练数据估算的。
超参数是模型外部的变量。该值无法从数据中估算出来，通常用于估算模型参数。
Python机器学习

ㅤ普通",
你正在处理数据集。如何选择重要变量？,"(1) 在选择重要变量之前，请先删除相关变量
(2) 使用随机森林和绘图变量重要性图表
(3) 使用套索回归
(4) 使用线性回归以基于p值选择变量
(5) 使用前向选择，逐步选择和向后选择
Python机器学习

ㅤ普通",
为什么 XGBoost 的性能优于 SVM？,"XGBoos 是使用许多树的集成方法。这意味着它会随着自身的重复而提高。
SVM 是线性分隔符。因此，如果我们的数据不是线性可分离的，那么 SVM 需要一个内核来使数据达到可以分离的状态。这可能会限制我们，因为每个给定的数据集都没有完美的内核。
Python机器学习

ㅤ普通",
以下混淆矩阵的召回率，特异性和精确度是多少？,"TN /真阴性：案件为阴性，预计为阴性
FN /假阴性：案件为阳性，但预计为阴性
FP /误报：案例为否定，但预计为肯定


召回率= 20％
特异性= 30％
精度= 22％
补充

  说明：
召回率= TP /（TP + FN）= 10/50 = 0.2 = 20％
特异性= TN /（TN + FP）= 15/50 = 0.3 = 30％
精度= TP /（TP + FP）= 10/45 = 0.2 = 22％

Python机器学习

ㅤ普通",
使用 scikit-learn 时，是否确实需要在特征值变化很大时调整特征值？,"是。大多数机器学习算法都使用欧几里得距离作为度量标准来测量两个数据点之间的距离。如果值的范围相差很大，则不同功能部件中相同更改的结果将非常不同。
Python机器学习

ㅤ普通",
你的数据集有 50 个变量，但是8个变量的缺失值高于 30％。如何解决这个问题？,"您可以采用 3 种一般方法：
只是删除它们（不理想）
为缺失值分配唯一的类别，以查看是否有趋势生成此问题
检查目标变量的分布。如果找到了模式，请保留缺少的值，将其分配给新类别，然后删除其他类别
Python机器学习

ㅤ普通",
协方差和相关性有什么区别？,"相关性是协方差的标准化格式。协方差本身很难做比较。例如：如果我们计算工资（￥）和年龄（岁）的协方差，因为这两个变量有不同的度量，所以我们会得到不能做比较的不同的协方差。为了解决这个问题，我们计算相关性来得到一个介于-1和1之间的值，就可以忽略它们各自不同的度量。
Python机器学习

ㅤ普通",
你认为把分类变量当成连续型变量会得到一个更好的预测模型吗？,"为了得到更好的预测，只有在分类变量在本质上是有序的情况下才可以被当做连续型变量来处理。
Python机器学习

ㅤ普通",
在 K-means 或者 KNN，我们是用欧氏距离来计算最近的邻居之间的距离，为什么不用曼哈顿距离？,"我们不用曼哈顿距离，因为它只计算水平或者垂直距离，有维度的限制。另一方面，欧氏距离可以用于任何空间的距离计算问题。因为，数据点可以存在于任何空间，欧式距离是更可行的选择。例如：想象一下国际象棋棋盘，象或者车所有的移动的由曼哈顿距离计算的，因为他们是在各自的水平和垂直方向做的运动。
Python机器学习

ㅤ普通",
给你一个数据集，这个数据集有缺失值，且这些缺失值分布在高中值有1一个标准偏差的的范围内，百分之多少的数据不会受到影响？为什么？,"大约有32%的数据将不会受到缺失值的影响。因为，由于数据分布在中位数附近，让我们先假设这是一个正态分布。我们知道，在一个正态分布中，约有68%的数据位于跟平均值（或者众数，中位数）1个标准差范围内，那么剩下的约32%的数据是不受影响的。因此，约有32%的数据将不受缺失值的影响。
Python机器学习

ㅤ普通",
线程分类器与非线性分类器的区别以及优劣？,"如果模型是参数的线性函数，并且存在线性分类面，那么就是线性分类器，否则不是。　　
常用的线性分类器有:LR ,贝叶斯分类，单层感知器，线性回归
常见的非线性分类器：决策树，RF，GBDT，多层感知机
SVM两种都有（看线性核还是高斯核）
线性分类器速度快，编程方便，但是可能拟合效果不会很好
非线性分类器编程复杂，但是效果拟合能力强
Python机器学习

ㅤ普通",
文本中的余弦距离是什么，有哪些作用？,"余弦距离是两个向量的距离的一种度量方式，其值在-1~1之间，如果为1表示两个向量同相，0表示两个向量正交，-1表示两个向量反向。使用TF-IDF和余弦距离可以寻找内容相似的文章，例如首先用TF-IDF找出两篇文章的关键词，然后每个文章分别取出k个关键词(10-20个)，统计这些关键词的词频，生成两篇文章的词频向量，然后用余弦距离计算其相似度。
Python机器学习

ㅤ普通",
什么是数据埋点？,"数据埋点我们可以分为两类，其一是页面统计，其二是行为统计
页面统计可以帮我们知晓某个页面被多少人访问了多少次
行为统计是指用户在界面上的操作行为，应用最多的是按钮的点击次数
Python机器学习

ㅤ普通",
请简要说说一个完整的机器学习项目流程,"(1) 抽象成数学问题
明确问题是进行机器学习的第一步。机器学习的训练过程通常都是一件非常耗时的事情，胡乱尝试时间成本是非常高的。
这里的抽象成数学问题，指的我们明确我们可以获得什么样的数据，目标是一个分类还是回归或者是聚类的问题，如果都不是的话，如果划归为其中的某类问题。
(2) 获取数据
数据决定了机器学习结果的上限，而算法只是尽可能逼近这个上限。数据要有代表性，否则必然会过拟合。而且对于分类问题，数据偏斜不能过于严重，不同类别的数据数量不要有数个数量级的差距。
而且还要对数据的量级有一个评估，多少个样本，多少个特征，可以估算出其对内存的消耗程度，判断训练过程中内存是否能够放得下。如果放不下就得考虑改进算法或者使用一些降维的技巧了。如果数据量实在太大，那就要考虑分布式了。
(3) 特征预处理与特征选择
　　
良好的数据要能够提取出良好的特征才能真正发挥效力。
特征预处理、数据清洗是很关键的步骤，往往能够使得算法的效果和性能得到显著提高。归一化、离散化、因子化、缺失值处理、去除共线性等，数据挖掘过程中很多时间就花在它们上面。这些工作简单可复制，收益稳定可预期，是机器学习的基础必备步骤。
筛选出显著特征、摒弃非显著特征，需要机器学习工程师反复理解业务。这对很多结果有决定性的影响。特征选择好了，非常简单的算法也能得出良好、稳定的结果。这需要运用特征有效性分析的相关技术，如相关系数、卡方检验、平均互信息、条件熵、后验概率、逻辑回归权重等方法。
(4) 训练模型与调优
直到这一步才用到我们上面说的算法进行训练。现在很多算法都能够封装成黑盒供人使用。但是真正考验水平的是调整这些算法的（超）参数，使得结果变得更加优良。这需要我们对算法的原理有深入的理解。理解越深入，就越能发现问题的症结，提出良好的调优方案。
(5) 模型诊断
如何确定模型调优的方向与思路呢？这就需要对模型进行诊断的技术。
过拟合、欠拟合判断是模型诊断中至关重要的一步。常见的方法如交叉验证，绘制学习曲线等。过拟合的基本调优思路是增加数据量，降低模型复杂度。欠拟合的基本调优思路是提高特征数量和质量，增加模型复杂度。
误差分析 也是机器学习至关重要的步骤。通过观察误差样本，全面分析误差产生误差的原因：是参数的问题还是算法选择的问题，是特征的问题还是数据本身的问题……
诊断后的模型需要进行调优，调优后的新模型需要重新进行诊断，这是一个反复迭代不断逼近的过程，需要不断地尝试， 进而达到最优状态。
(6)模型融合
一般来说，模型融合后都能使得效果有一定提升。而且效果很好。
　　
工程上，主要提升算法准确度的方法是分别在模型的前端（特征清洗和预处理，不同的采样模式）与后端（模型融合）上下功夫。因为他们比较标准可复制，效果比较稳定。而直接调参的工作不会很多，毕竟大量数据训练起来太慢了，而且效果难以保证。
(7) 上线运行
这一部分内容主要跟工程实现的相关性比较大。工程上是结果导向，模型在线上运行的效果直接决定模型的成败。 不单纯包括其准确程度、误差等情况，还包括其运行的速度(时间复杂度)、资源消耗程度（空间复杂度）、稳定性是否可接受。
这些工作流程主要是工程实践上总结出的一些经验。并不是每个项目都包含完整的一个流程。这里的部分只是一个指导性的说明，只有大家自己多实践，多积累项目经验，才会有自己更深刻的认识。
Python机器学习

ㅤ普通",
我们知道，独热编码（OneHotEncoder）会增加数据集的维度。但是标签编码（LabelEncoder）不会。为什么？,"用独热编码(OneHotEncoder)，数据集的维度（也即特征）增加是因为它为分类变量中存在的的每一级都创建了一个变量。例如：假设我们有一个变量“颜色”。这变量有 3 个层级，即红色、蓝色和绿色。
对“颜色”变量进行一位有效编码会生成含0和1值的 Color.Red，Color.Blue 和 Color.Green 三个新变量。在标签编码中，分类变量的层级编码为0，1和2，因此不生成新变量。标签编码主要是用于二进制变量。
Python机器学习

ㅤ普通",
