问题,回答,所属分类
Python 中的作用域？,"Python 中，一个变量的作用域总是由在代码中被赋值的地方所决定。当 Python 遇到一个变量的话它会按照这的顺序进行搜索：
本地作用域(Local)—>当前作用域被嵌入的本地作用域(Enclosing locals)—>全局/模块作用域 (Global)—>内置作用域(Built-in)。
Python基础

ㅤ普通",
什么是 Python 自省？,"Python 自省是 Python 具有的一种能力，使程序员面向对象的语言所写的程序在运行时,能够获得对象的类 Python 型。
Python 是一种解释型语言，为程序员提供了极大的灵活性和控制力。
Python基础

ㅤ普通",
什么是 Python 的命名空间？,"命名空间，又名 namesapce，是在很多的编程语言中都会出现的术语，趁着这个题顺便给大家仔细介绍一下。
全局变量 & 局部变量
全局变量和局部变量是我们理解命名空间的开始，我们先来看一段代码：
这段代码输出的结果如下：
从上述的结果中可以看出，运行 func()，输出的是 func() 里面的变量 x 所引用的对象 3，之后执行的是代码中的最后一行。这里要区分清楚，前一个 x 输出的是函数内部的变量 x，后一个 x 输出的是函数外的变量 x，两个变量互相不影响，在各自的作用域中起作用。
那个只在函数内起作用的变量就叫 “局部变量”，有了 “局部” 就有相应的 “全部”，但是后者听起来有歧义，所以就叫了 “全局”。
这段代码中比上段代码多加了一个 global x，这句话的意思是在声明 x 是全局变量，通俗点说就是这个 x 和 函数外的 x 是同一个了，所以结果就成了下面这样：
这样乍一看好像全局变量好强，可以管着函数内外，但是我们还是要注意，全局变量还是谨慎使用的好，因为毕竟内外有别，不要带来混乱。
作用域
作用域，用比较直白的方式来说，就是程序中变量与对象存在关联的那段程序，比如我在上面说的， x = 2 和 x = 3 是在两个不同的作用域中。
通常的，作用域是被分为静态作用域和动态作用域，虽然我们说 Python 是动态语言，但是它的作用域属于静态作用域，即 Python 中的变量的作用域是由该变量所在程序中的位置所决定的。
在 Python 中作用域被划分成四个层级，分别是：local（局部作用域），enclosing（嵌套作用域），global（全局作用域）和 built – in（内建作用域）。对于一个变量，Python 也是按照之前四个层级依次在不用的作用域中查找，我们在上一段代码中，对于变量 x，首先搜索的是函数体内的局部作用域，然后是函数体外的全局作用域，至于这段话具体怎么来理解，请看下面的例子：
上述代码运行的结果是：
仔细观察一下上面的代码和运行的结果，你就会发现变量在不同的范围内进行搜索的规律，是不是感觉这些都是以前被你忽略的呢？
命名空间
《维基百科》中说 “命名空间是对作用域的一种特殊的抽象”，在这里我用一个比方来具体说明一下：
比如张三在公司 A，他的工号是 111，李四在公司 B，他的工号也是 111，因为两个人在不同的公司，他们俩的工号可以相同但是不会引起混乱，这里的公司就表示一个独立的命名空间，如果两个人在一个公司的话，他们的工号就不能相同，否则光看工号也不知道到底是谁。
其实上面举的这个例子的特点就是我们使用命名空间的理由，在大型的计算机程序中，往往会出现成百上千的标识符，命名空间提供隐藏区域标识符的机制。通过将逻辑上相关的标识符构成响应的命名空间，可以使整个系统更加的模块化。
我在开头引用的《维基百科》的那句话说 “命名空间是对作用域的一种特殊的抽象”，它其实包含了处于该作用域内的标识符，且它本身也用一个标识符来表示。在 Python 中，命名空间本身的标识符也属于更外层的一个命名空间，所以命名空间也是可以嵌套的，它们共同生活在 “全局命名空间” 下。
简言之，不同的命名空间可以同时存在，但是彼此独立，互不干扰。当然了，命名空间因为其对象的不同也有所区别，可以分为以下几种：
程序查询命名空间的时候也有一套顺序，依次按照本地命名空间 ，全局命名空间，内置命名空间。
访问本地命名空间使用 locals 完成，我们来看一下结果：
从上面的结果中可以看出，命名空间中的数据存储的结构和字典是一样的。可能你已经猜到了，当我们要访问全局命名空间的时候，可以使用 globals。
关于命名空间还有一个生命周期的问题，就是一个命名空间什么时候出现，什么时候消失，这个很好理解，就是哪部分被读入内存，哪部分的命名空间就存在了，比如我们在上面说的，Python 启动，内置命名空间就建立。
Python基础

ㅤ普通",
你所遵循的代码规范是什么？,"PEP 8 编码风格
Python 代码从第一眼看上去，给人的感觉就是简洁优美，可读性强，也就是我们日常所说的「高颜值」。一方面是因为 Python 自身的优秀设计，比如统一的锁进，没有多余的符号从而让代码变的更加简洁；另一方面就是因为它有着一套较为统一的编码风格，当然它本身只是编码风格方面的建议而不是强制，相应的在编写 Python 代码的编辑器自动提供 PFP 8 检查，当你编写的代码违反了 PEP 8 规范的时候，会给出警告信息和修正的建议。与此同时，还有专门的检查工具对 Python 的代码风格进行检查。
由上，还是建议在编写 Python 代码的时候都遵循 PEP 8 编码规范，毕竟你以后不可能是只一个人写代码，未来不论是在公司或者某些开源项目中，作为其中的一份子，肯定还是要在风格上向大众看齐的。
PEP 8 编码规范详细的给出了 Python 编码的指导，包括什么对齐啦，包的导入顺序啦，空格和注释啦还有命名习惯等方方面面，并且还有详细的事例。
下面我以「包」的导入为例，看一下 PEP 8 给出的具体编程指导。在 Python 中， import 应该一次只导入一个模块，不同的模块应该独立一行：
反面例子：
如果想要从一个模块里面导入多个，也可以像下面这样：
import 语句应该处于源码文件的顶部，位于模块注释和文档字符串之后，全局变量和常量之前。在导入不同的库的时候，应该按照以下的顺序分组，各个分组之间以空行分隔：
具体事例如下所示：
Python 中还支持相对导入和绝对导入，在这里还是强推绝对导入。因为绝对导入的可读性更好一些，也不容易出错，即使出错了也会给出更加详细的错误信息。具体如下所示：
当然除了上述以外还有更多对于包的规范的描述，PEP 8 的编码风格指导比较长，并且写的非常详细，所以我就不在这一一介绍了，详细的可以参考 Python 官网上的资料。
pycodestyle 检查代码规范
我在上面说过 PEP 8 只是官方给出的 Python 编码规范，并没有强制要求大家都遵守，但是又由于大家都在用，所以它也就变成了事实上的 Python 代码风格标准，既然都是标准了，那么就应该有工具来检查这个标准，这样可以帮助 Python 小白规范自己的代码，也可以帮助大家在开源或者工作中形成统一的代码风格。
为了达成上述的目的，官方提供了同名的命令行工具来检查 Python 代码是否违反了 PEP 8 规范，并且对违反规范的地方给出了相应的提示信息。
规范的名字是 PEP 8 ，这个检查代码风格的命令行工具叫 pep8，这个很容易引起大家的困惑，因此 Python 之父建议将 pep8 重新命名为 pycodestyle，下面我们来看一下 pycodestyle 的用法。
首先通过 pip 安装一下：
对一个或者多个文件运行 pycodestyle，打印检查报告：

通过 –show-source 显示不符合规范的源码，以便程序员进行修改，具体如下所示：

autopep8 格式化代码
autopep8 能够将 Python 代码自动格式化为 PEP 8 风格，它使用 pycodestyle 工具来决定代码中的哪部分需要被格式化，这能够修复大部分 pycodestyle 工具中报告的排版问题。autopep8 本身也是一个用 Python 写的工具，所以我们还是可以用 pip 直接安装：
它的使用方式也很简单，具体如下所示：
上述代码如果不带 –in-place 的话，会将 autopep8 格式化以后的代码直接输出到控制台。我们可以用这种方式检查 autopep8 的修改，使用 –in-place 则会直接将结果保存到源文件中。在这我继续用上面的例子中用到的 py 文件，具体如下所示：

上面的例子中，autopep8 顺利的修复了所有的问题，但是如果你这个时候查看源文件的话，你会发现源文件的内容还是和原来一样，并没有被修改。这个时候我们就要用到 –in-place，加上这个选项将不会有任何输出， autopep8 会直接修改源文件。
Python基础

ㅤ普通",
关于 Python 程序的运行方面，有什么手段能提升性能？,"1、使用多进程，充分利用机器的多核性能
2、对于性能影响较大的部分代码，可以使用 C 或 C++ 编写
3、对于 IO 阻塞造成的性能影响，可以使用 IO 多路复用来解决
4、尽量使用 Python 的内建函数
5、尽量使用局部变量
Python基础

ㅤ普通",
dict 的 items() 方法与 iteritems() 方法的不同？,"items方法将所有的字典以列表方式返回，其中项在返回时没有特殊的顺序
iteritems方法有相似的作用，但是返回一个迭代器对象
Python基础

ㅤ普通",
4G 内存怎么读取一个 5G 的数据？,"方法一：
通过生成器，分多次读取，每次读取数量相对少的数据（比如 500MB）进行处理，处理结束后 在读取后面的 500MB 的数据。
方法二：
可以通过 linux 命令 split 切割成小文件，然后再对数据进行处理，此方法效率比较高。可以按照行 数切割，可以按照文件大小切割。

  　　在Linux下用split进行文件分割： 模式一：指定分割后文件行数 对与txt文本文件，可以通过指定分割后文件的行数来进行文件分割。 命令：split -l 300 large_file.txt new_file_prefix 模式二：指定分割后文件大小 split -b 10m server.log waynelog

Python基础

ㅤ普通",
输入某年某月某日，判断这一天是这一年的第几天？,"使用 Python 标准库 datetime
“`
import datetime
def dayofyear():
    year = input(“请输入年份：”)
    month = input(“请输入月份：”)
    day = input(“请输入天：”)
    date1 = datetime.date(year=int(year)，month=int(month)，day=int(day))
    date2 = datetime.date(year=int(year)，month=1，day=1)
    return (date1-date2+1).days
Python基础

ㅤ普通",
说明一下 os.path 和 sys.path 分别代表什么？,"os.path 主要是用于对系统路径文件的操作。
sys.path 主要是对 Python 解释器的系统环境参数的操作（动态的改变 Python 解释器搜索路径）。
Python基础

ㅤ普通",
Python 中的 os 模块常见方法？,"os.remove() 删除文件
os.rename() 重命名文件
os.walk() 生成目录树下的所有文件
os.chdir() 改变目录
os.mkdir/makedirs 创建目录/多层目录
os.rmdir/removedirs 删除目录/多层目录
os.listdir() 列出指定目录的文件
os.getcwd() 取得当前工作目录
os.chmod() 改变目录权限
os.path.basename() 去掉目录路径，返回文件名
os.path.dirname() 去掉文件名，返回目录路径
os.path.join() 将分离的各部分组合成一个路径名
os.path.split() 返回（dirname(),basename())元组
os.path.splitext() 返回(filename,extension)元组
os.path.getatime\ctime\mtime 分别返回最近访问、创建、修改时间
os.path.getsize() 返回文件大小
os.path.exists() 是否存在
os.path.isabs() 是否为绝对路径
os.path.isdir() 是否为目录
os.path.isfile() 是否为文件
Python基础

ㅤ普通",
说一下字典和 json 的区别？,"字典是一种数据结构，json 是一种数据的表现形式，字典的 key 值只要是能 hash 的就行，json 的必须是字符串。
Python基础

ㅤ普通",
什么是可变、不可变类型？,"可变不可变指的是内存中的值是否可以被改变，不可变类型指的是对象所在内存块里面的值不可以改变，有数值、字符串、元组；可变类型则是可以改变，主要有列表、字典。
Python基础

ㅤ普通",
存入字典里的数据有没有先后排序？,"存入的数据不会自动排序，可以使用 sort 函数对字典进行排序。
Python基础

ㅤ普通",
lambda 表达式格式以及应用场景？,"lambda函数就是可以接受任意多个参数（包括可选参数）并且返回单个表达式值得函数。
语法：lambda [arg1 [,arg2,…..argn]]:expression
将上述一般函数改写为匿名函数：
应用
(1) lambda函数比较轻便，即用即仍，适合完成只在一处使用的简单功能。
(2) 匿名函数，一般用来给filter，map这样的函数式编程服务
(3) 作为回调函数，传递给某些应用，比如消息处理。
Python基础

ㅤ普通",
如何理解 Python 中字符串中的\字符？,"1、转义字符
2、路径名中用来连接路径名
3、编写太长代码手动软换行
Python基础

ㅤ普通",
常用的 Python 标准库都有哪些？,"os 操作系统、time 时间、random 随机、pymysql 连接数据库、threading 线程、multiprocessing 进程、queue 队列
第三方库： django、flask、requests、virtualenv、selenium、scrapy、xadmin、celery、re、hashlib、md5
常用的科学计算库：Numpy，Pandas、matplotlib
Python基础

ㅤ普通",
如何在Python中管理内存？,"python中的内存管理由Python私有堆空间管理。所有Python对象和数据结构都位于私有堆中。程序员无权访问此私有堆。python解释器负责处理这个问题。
Python对象的堆空间分配由Python的内存管理器完成。核心API提供了一些程序员编写代码的工具。
Python还有一个内置的垃圾收集器，它可以回收所有未使用的内存，并使其可用于堆空间。
Python基础

ㅤ普通",
介绍一下 except 的作用和用法？,"except: 捕获所有异常
except:: 捕获指定异常
except:: 捕获异常 1 或者异常 2
except:,: 捕获指定异常及其附加的数据
except::: 捕获异常名 1 或者异常名 2,及附加的数据
Python基础

ㅤ普通",
在 except 中 return 后还会不会执行 finally 中的代码？怎么抛出自定义异常？,"会继续处理 finally 中的代码； 用 raise 方法可以抛出自定义异常。
Python基础

ㅤ普通",
read、readline 和 readlines 的区别？,"read:读取整个文件。
readline：读取下一行，使用生成器方法。
readlines：读取整个文件到一个迭代器以供我们遍历。
Python基础

ㅤ普通",
range 和 xrange 的区别？,"两者用法相同，不同的是 range 返回的结果是一个列表，而 xrange 的结果是一个生成器，前者是直接开辟一块内存空间来保存列表，后者是边循环边使用，只有使用时才会开辟内存空间，所以当列表 很长时，使用 xrange 性能要比 range 好。
Python基础

ㅤ普通",
请简述你对 input()函数的理解？,"在 Python3 中，input()获取用户输入，不论用户输入的是什么，获取到的都是字符串类型的。
在 Python2 中有 raw_input()和 input(), raw_input()和 Python3 中的 input()作用是一样的， input()输入的是什么数据类型的，获取到的就是什么数据类型的。
Python基础

ㅤ普通",
代码中要修改不可变数据会出现什么问题？抛出什么异常？,"代码不会正常运行，抛出 TypeError 异常。
Python基础

ㅤ普通",
print 调用 Python 中底层的什么方法？,"print 方法默认调用 sys.stdout.write 方法，即往控制台打印字符串。
Python基础

ㅤ普通",
Python 的 sys 模块常用方法,"sys.argv 命令行参数 List，第一个元素是程序本身路径
sys.modules.keys() 返回所有已经导入的模块列表
sys.exc_info() 获取当前正在处理的异常类,exc_type、exc_value、exc_traceback 当前处理的 异常详细信息
sys.exit(n) 退出程序，正常退出时 exit(0)  sys.hexversion 获取 Python 解释程序的版本值，16 进制格式如：0x020403F0
sys.version 获取 Python 解释程序的版本信息
sys.maxint 最大的 Int 值
sys.maxunicode 最大的 Unicode 值
sys.modules 返回系统导入的模块字段，key 是模块名，value 是模块
sys.path 返回模块的搜索路径，初始化时使用 PYTHONPATH 环境变量的值
sys.platform 返回操作系统平台名称
sys.stdout 标准输出
sys.stdin 标准输入
sys.stderr 错误输出
sys.exc_clear() 用来清除当前线程所出现的当前的或最近的错误信息
sys.exec_prefix 返回平台独立的 python 文件安装的位置
sys.byteorder 本地字节规则的指示器，big-endian 平台的值是’big’,little-endian 平台的值是 ‘little’  sys.copyright 记录 python 版权相关的东西
sys.api_version 解释器的 C 的 API 版本
sys.version_info 元组则提供一个更简单的方法来使你的程序具备 Python 版本要求功能
Python基础

ㅤ普通",
unittest 是什么？,"在 Python 中，unittest 是 Python 中的单元测试框架。它拥有支持共享搭建、自动测试、在测试 中暂停代码、将不同测试迭代成一组等的功能。
Python基础

ㅤ普通",
模块和包是什么？,"在 Python 中，模块是搭建程序的一种方式。每一个 Python 代码文件都是一个模块，并可以引用 其他的模块，比如对象和属性。
一个包含许多 Python 代码的文件夹是一个包。一个包可以包含模块和子文件夹。
Python基础

ㅤ普通",
什么是正则的贪婪匹配？,"贪婪匹配：正则表达式一般趋向于最大长度匹配，也就是所谓的贪婪匹配。
非贪婪匹配：就是匹配到结果就好，就少的匹配字符。
Python基础

ㅤ普通",
常用字符串格式化哪几种？,"% 格式化字符串操作符
字典形式的字符串格式化方法
字符串格式化（format）
(1) 使用位置参数
位置参数不受顺序约束，且可以为{}，参数索引从0开始，format里填写{}对应的参数值。
(2) 使用关键字参数
关键字参数值要对得上，可用字典当关键字参数传入值，字典前加**即可
(3) 填充与格式化     :填充字符[宽度]
填充字符
Python基础

ㅤ普通",
面向对象深度优先和广度优先是什么？,"在子类继承多个父类时，属性查找方式分深度优先和广度优先两种。
当类是经典类时，多继承情况下，在要查找属性不存在时，会按照深度优先方式查找下去。
当类是新式类时，多继承情况下，在要查找属性不存在时，会按照广度优先方式查找下去。
Python基础

ㅤ普通",
